Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,762.9,наличный,Минск,МаксБанк-BDYN-920,17-09-2003,04:28:30,успешно,нет,0.0
физ. лицо,списание средств,2566.39,безналичный,Минск,Приорбанк-IACD-427,23-01-2017,07:36:43,недостаточно средств,да,252.28
физ. лицо,получение средств,2137.24,наличный,Минск,Белинвестбанк-HXOD-284,08-04-2013,06:57:41,успешно,нет,0.0
физ. лицо,списание средств,3135.82,наличный,Минск,Белинвестбанк-YHZB-204,10-01-2019,03:24:24,недостаточно средств,да,229.86
юр. лицо,получение средств,3121.4,безналичный,Минск,Беларусбанк-GLCF-718,13-07-2013,17:40:21,успешно,нет,0.0
юр. лицо,получение средств,419.73,наличный,Минск,Беларусбанк-OWEB-863,02-06-2008,12:29:38,успешно,нет,0.0
юр. лицо,получение средств,834.3,безналичный,Минск,БелАгропромбанк-BZTR-427,13-08-2022,08:32:01,успешно,нет,0.0
юр. лицо,списание средств,3459.66,наличный,Минск,Беларусбанк-OJGR-442,02-09-2003,05:12:59,недостаточно средств,нет,0.0
физ. лицо,получение средств,3105.99,безналичный,Минск,Приорбанк-XLPZ-138,10-09-2022,14:08:26,успешно,нет,0.0
физ. лицо,получение средств,3518.28,наличный,Минск,Приорбанк-EDGH-758,25-02-2022,12:53:58,успешно,нет,0.0
физ. лицо,списание средств,789.09,безналичный,Минск,БелАгропромбанк-BGDJ-115,20-12-2000,03:56:00,успешно,да,40.14
физ. лицо,получение средств,1763.39,безналичный,Минск,БелАгропромбанк-HPHH-446,25-04-2003,08:04:35,успешно,нет,0.0
физ. лицо,получение средств,2087.67,наличный,Минск,МаксБанк-YXTF-713,07-06-2001,01:03:36,успешно,нет,0.0
физ. лицо,получение средств,3511.84,наличный,Минск,МаксБанк-VNAW-917,25-08-2008,15:33:22,успешно,нет,0.0
юр. лицо,получение средств,3614.4,наличный,Минск,Белинвестбанк-UBMR-176,27-08-2001,13:11:25,успешно,нет,0.0
юр. лицо,списание средств,3680.85,безналичный,Минск,Беларусбанк-HFPW-454,20-11-2021,05:12:43,успешно,да,135.72
физ. лицо,списание средств,1506.53,наличный,Минск,Беларусбанк-FGJQ-907,09-06-2015,00:52:03,успешно,нет,0.0
юр. лицо,списание средств,2996.4,безналичный,Минск,МаксБанк-PSAB-070,29-06-2011,02:31:45,успешно,да,126.68
физ. лицо,получение средств,910.15,наличный,Минск,Приорбанк-DCRZ-927,18-10-2020,13:19:26,успешно,нет,0.0
юр. лицо,получение средств,1452.28,безналичный,Минск,Приорбанк-PTKG-057,29-12-2005,23:24:56,успешно,нет,0.0
юр. лицо,списание средств,2322.61,наличный,Минск,Беларусбанк-VOEP-486,27-05-2004,23:39:30,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4729.0,безналичный,Минск,БелАгропромбанк-USCU-355,12-10-2005,14:27:33,успешно,нет,0.0
физ. лицо,получение средств,659.55,безналичный,Минск,МаксБанк-MXTH-496,22-11-2007,02:42:28,успешно,нет,0.0
физ. лицо,списание средств,1565.87,наличный,Минск,Приорбанк-UYQB-955,27-03-2005,16:42:32,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2469.6,безналичный,Минск,Беларусбанк-ZCEV-887,19-08-2023,10:36:17,успешно,да,145.2
физ. лицо,списание средств,3688.96,безналичный,Минск,Приорбанк-QDAS-593,26-11-2016,20:02:42,успешно,нет,0.0
физ. лицо,списание средств,4571.53,безналичный,Минск,Приорбанк-CYDG-003,10-09-2005,07:34:04,успешно,нет,0.0
юр. лицо,получение средств,4465.86,наличный,Минск,МаксБанк-GTBN-789,04-12-2004,00:21:25,успешно,нет,0.0
физ. лицо,списание средств,1619.25,наличный,Минск,МаксБанк-JJHL-588,24-05-2004,06:31:12,недостаточно средств,нет,0.0
юр. лицо,списание средств,3352.86,наличный,Минск,БелАгропромбанк-KPBH-130,13-08-2024,03:08:13,неправильный ввод пин-кода,да,41.8
физ. лицо,получение средств,1244.92,наличный,Минск,Приорбанк-CEIJ-268,02-09-2004,03:58:22,успешно,нет,0.0
физ. лицо,получение средств,3612.0,безналичный,Минск,Беларусбанк-EQCF-835,28-11-2011,12:49:40,успешно,нет,0.0
юр. лицо,получение средств,3136.96,безналичный,Минск,Беларусбанк-EHVO-220,10-07-2018,18:13:10,успешно,нет,0.0
физ. лицо,получение средств,3508.22,наличный,Минск,БелАгропромбанк-CQZX-111,10-05-2015,08:11:54,успешно,нет,0.0
физ. лицо,получение средств,4900.1,безналичный,Минск,Приорбанк-QYSI-948,07-01-2002,03:27:24,успешно,нет,0.0
юр. лицо,получение средств,2691.62,наличный,Минск,Белинвестбанк-GCMV-744,03-09-2014,22:58:14,успешно,нет,0.0
физ. лицо,списание средств,3091.4,безналичный,Минск,Белинвестбанк-PIAQ-393,01-07-2001,22:46:33,успешно,да,131.18
юр. лицо,получение средств,2173.8,безналичный,Минск,Белинвестбанк-JUAA-125,29-10-2000,23:27:34,успешно,нет,0.0
физ. лицо,получение средств,2886.4,безналичный,Минск,БелАгропромбанк-DCVS-516,11-04-2011,15:32:15,успешно,нет,0.0
юр. лицо,получение средств,797.48,наличный,Минск,Приорбанк-KCSM-005,21-07-2012,14:03:15,успешно,нет,0.0
юр. лицо,получение средств,3757.99,безналичный,Минск,МаксБанк-XFFC-009,08-10-2015,11:11:49,успешно,нет,0.0
юр. лицо,получение средств,2962.15,безналичный,Минск,БелАгропромбанк-VILC-940,27-07-2023,23:21:28,успешно,нет,0.0
физ. лицо,списание средств,4506.14,безналичный,Минск,Белинвестбанк-DDZY-021,05-03-2014,14:20:56,неправильный ввод пин-кода,да,350.54
юр. лицо,списание средств,4654.46,безналичный,Минск,Приорбанк-BKMX-745,26-02-2024,07:32:47,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,77.76,наличный,Минск,БелАгропромбанк-OLNG-155,28-04-2010,13:39:48,успешно,нет,0.0
физ. лицо,получение средств,4259.0,безналичный,Минск,МаксБанк-MUGR-975,20-12-2005,05:47:35,успешно,нет,0.0
юр. лицо,списание средств,3525.81,безналичный,Минск,Беларусбанк-FYTM-340,31-08-2013,20:30:38,недостаточно средств,нет,0.0
физ. лицо,получение средств,951.25,безналичный,Минск,БелАгропромбанк-SCLB-983,24-06-2022,03:19:33,успешно,нет,0.0
физ. лицо,списание средств,1230.6,безналичный,Минск,МаксБанк-UAQN-704,09-11-2022,04:11:40,успешно,нет,0.0
физ. лицо,списание средств,1309.71,безналичный,Минск,Беларусбанк-ARVP-407,31-08-2021,19:29:11,успешно,да,118.59
юр. лицо,получение средств,841.95,безналичный,Минск,БелАгропромбанк-DDLA-040,16-04-2001,20:49:11,успешно,нет,0.0
юр. лицо,получение средств,1977.42,наличный,Минск,Беларусбанк-QLDJ-270,14-05-2004,23:08:41,успешно,нет,0.0
физ. лицо,списание средств,522.88,наличный,Минск,Приорбанк-STZU-713,04-01-2003,19:28:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1146.66,наличный,Минск,МаксБанк-EVHF-672,15-09-2000,13:49:24,успешно,да,92.42
физ. лицо,получение средств,1128.98,безналичный,Минск,Белинвестбанк-LNVE-653,30-09-2019,19:36:30,успешно,нет,0.0
юр. лицо,получение средств,4783.69,безналичный,Минск,Белинвестбанк-FEFJ-287,21-09-2014,11:03:38,успешно,нет,0.0
юр. лицо,получение средств,2894.99,безналичный,Минск,БелАгропромбанк-FGQH-811,22-06-2008,09:27:36,успешно,нет,0.0
юр. лицо,списание средств,4435.74,безналичный,Минск,Приорбанк-VYWX-581,01-10-2021,23:21:07,недостаточно средств,да,175.73
физ. лицо,списание средств,3375.9,безналичный,Минск,Беларусбанк-YCZQ-204,01-04-2007,02:20:41,успешно,да,281.89
юр. лицо,списание средств,2955.0,наличный,Минск,МаксБанк-XADD-818,30-01-2018,01:57:58,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1296.69,безналичный,Минск,БелАгропромбанк-UJJI-791,24-09-2010,11:52:17,успешно,нет,0.0
юр. лицо,получение средств,2059.78,наличный,Минск,Приорбанк-NGSX-203,07-10-2003,12:36:23,успешно,нет,0.0
физ. лицо,получение средств,1996.66,безналичный,Минск,МаксБанк-HEFH-966,05-01-2003,21:06:34,успешно,нет,0.0
юр. лицо,списание средств,4434.17,безналичный,Минск,Белинвестбанк-ZRJN-574,05-10-2022,07:07:04,недостаточно средств,нет,0.0
юр. лицо,получение средств,1806.94,безналичный,Минск,МаксБанк-XYIH-656,12-07-2014,08:56:52,успешно,нет,0.0
юр. лицо,получение средств,1697.37,безналичный,Минск,Беларусбанк-FBRP-291,15-06-2004,00:21:21,успешно,нет,0.0
физ. лицо,списание средств,827.06,безналичный,Минск,Приорбанк-OIHK-304,09-05-2011,02:29:44,успешно,да,52.44
юр. лицо,получение средств,2706.07,безналичный,Минск,МаксБанк-PVKE-489,17-04-2002,07:54:21,успешно,нет,0.0
физ. лицо,списание средств,3695.09,безналичный,Минск,Беларусбанк-DJZQ-238,26-04-2001,09:48:13,неправильный ввод пин-кода,да,283.64
юр. лицо,получение средств,2357.78,безналичный,Минск,МаксБанк-CSWA-295,17-07-2006,09:29:17,успешно,нет,0.0
физ. лицо,получение средств,3113.72,наличный,Минск,Белинвестбанк-LFRJ-228,19-09-2018,01:19:26,успешно,нет,0.0
юр. лицо,списание средств,1936.65,наличный,Минск,БелАгропромбанк-IVYN-142,14-07-2019,12:56:02,успешно,да,148.35
юр. лицо,списание средств,1619.17,безналичный,Минск,БелАгропромбанк-TJOA-284,23-07-2009,08:24:46,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3490.31,наличный,Минск,Приорбанк-TPDG-842,15-07-2005,00:10:38,неправильный ввод пин-кода,да,170.44
физ. лицо,списание средств,4718.46,наличный,Минск,Белинвестбанк-QGUM-622,17-10-2015,21:26:32,недостаточно средств,да,267.8
юр. лицо,списание средств,1324.16,наличный,Минск,БелАгропромбанк-PGBT-211,13-12-2015,08:17:22,неправильный ввод пин-кода,да,34.17
юр. лицо,получение средств,376.67,безналичный,Минск,Белинвестбанк-YPMS-926,09-06-2004,08:31:12,успешно,нет,0.0
юр. лицо,получение средств,2541.82,наличный,Минск,МаксБанк-MCVA-379,15-08-2017,08:10:38,успешно,нет,0.0
физ. лицо,получение средств,2049.85,безналичный,Минск,БелАгропромбанк-CWRD-599,21-09-2003,20:43:54,успешно,нет,0.0
физ. лицо,получение средств,3628.69,наличный,Минск,Белинвестбанк-TYME-465,12-01-2005,10:19:27,успешно,нет,0.0
физ. лицо,списание средств,4876.86,наличный,Минск,Приорбанк-KXZF-040,17-02-2010,00:37:57,успешно,нет,0.0
физ. лицо,получение средств,3930.14,безналичный,Минск,Беларусбанк-KDOG-585,06-03-2017,01:07:24,успешно,нет,0.0
юр. лицо,получение средств,4186.18,наличный,Минск,БелАгропромбанк-ZPLT-552,04-04-2024,21:54:53,успешно,нет,0.0
физ. лицо,списание средств,1101.79,наличный,Минск,Приорбанк-ULNR-086,30-04-2019,16:50:02,недостаточно средств,нет,0.0
юр. лицо,получение средств,2702.43,наличный,Минск,Беларусбанк-GHTF-612,24-11-2015,09:13:38,успешно,нет,0.0
юр. лицо,списание средств,2455.54,безналичный,Минск,Беларусбанк-OJSZ-290,25-05-2001,00:23:43,успешно,да,213.17
юр. лицо,списание средств,3388.94,наличный,Минск,МаксБанк-ZVFZ-997,24-07-2003,11:12:28,недостаточно средств,да,288.47
юр. лицо,получение средств,4229.96,безналичный,Минск,Белинвестбанк-KCTE-478,17-04-2016,06:38:17,успешно,нет,0.0
физ. лицо,списание средств,4970.85,наличный,Минск,МаксБанк-DHCQ-954,11-07-2015,02:34:03,недостаточно средств,да,194.94
юр. лицо,списание средств,1632.08,наличный,Минск,Беларусбанк-XZTU-723,17-08-2006,20:25:46,неправильный ввод пин-кода,да,34.54
юр. лицо,получение средств,2629.68,наличный,Минск,БелАгропромбанк-IXNF-354,25-03-2014,00:12:47,успешно,нет,0.0
физ. лицо,списание средств,4298.51,наличный,Минск,БелАгропромбанк-JPXT-645,19-07-2022,04:49:29,успешно,да,419.61
юр. лицо,списание средств,4857.81,наличный,Минск,БелАгропромбанк-IMRM-032,09-12-2012,00:49:16,успешно,да,428.95
юр. лицо,списание средств,265.11,безналичный,Минск,Белинвестбанк-BENM-518,02-02-2012,13:26:41,неправильный ввод пин-кода,да,23.12
физ. лицо,получение средств,4529.73,безналичный,Минск,Беларусбанк-EPHE-362,07-07-2023,10:56:07,успешно,нет,0.0
физ. лицо,списание средств,4948.64,наличный,Минск,БелАгропромбанк-KJPH-885,13-03-2014,05:58:24,успешно,нет,0.0
юр. лицо,списание средств,1038.82,безналичный,Минск,БелАгропромбанк-AIXV-052,21-11-2014,21:06:59,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1302.29,безналичный,Минск,Беларусбанк-MFST-213,13-01-2015,18:11:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1233.91,безналичный,Минск,Белинвестбанк-MRNL-925,12-05-2012,13:41:53,успешно,нет,0.0
физ. лицо,получение средств,1570.55,наличный,Минск,БелАгропромбанк-QLXL-303,22-07-2005,12:29:45,успешно,нет,0.0
юр. лицо,получение средств,4961.49,наличный,Минск,Беларусбанк-TPZT-820,09-04-2010,01:38:49,успешно,нет,0.0
юр. лицо,получение средств,661.7,безналичный,Минск,Белинвестбанк-LRZF-315,11-09-2004,04:47:57,успешно,нет,0.0
физ. лицо,получение средств,2522.75,наличный,Минск,Белинвестбанк-RIUX-110,02-09-2001,04:46:34,успешно,нет,0.0
физ. лицо,получение средств,1328.98,безналичный,Минск,БелАгропромбанк-SSNW-675,19-05-2008,01:34:48,успешно,нет,0.0
юр. лицо,получение средств,4407.73,наличный,Минск,БелАгропромбанк-MELS-203,22-04-2002,17:03:42,успешно,нет,0.0
юр. лицо,получение средств,3988.53,безналичный,Минск,Приорбанк-KTXM-533,19-10-2017,06:49:15,успешно,нет,0.0
юр. лицо,списание средств,4750.65,безналичный,Минск,МаксБанк-NHAA-563,17-08-2019,06:51:39,неправильный ввод пин-кода,да,200.08
юр. лицо,получение средств,1762.62,наличный,Минск,МаксБанк-KOWK-947,09-01-2009,12:49:45,успешно,нет,0.0
юр. лицо,получение средств,1259.08,наличный,Минск,БелАгропромбанк-XFXR-495,18-06-2010,19:20:54,успешно,нет,0.0
юр. лицо,списание средств,573.1,наличный,Минск,Беларусбанк-TODS-521,20-01-2012,07:20:15,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1683.73,наличный,Минск,Белинвестбанк-KVFJ-518,18-12-2010,05:31:09,успешно,да,68.11
юр. лицо,получение средств,1011.53,безналичный,Минск,Белинвестбанк-GHXE-005,10-03-2022,01:42:38,успешно,нет,0.0
юр. лицо,списание средств,1077.82,безналичный,Минск,БелАгропромбанк-EONJ-815,09-04-2021,07:00:23,неправильный ввод пин-кода,да,85.01
физ. лицо,получение средств,481.96,безналичный,Минск,Белинвестбанк-SFIG-344,29-08-2011,16:15:42,успешно,нет,0.0
физ. лицо,списание средств,3904.4,наличный,Минск,БелАгропромбанк-DAXF-238,20-05-2003,12:41:35,недостаточно средств,нет,0.0
юр. лицо,списание средств,1471.1,наличный,Минск,БелАгропромбанк-OMAK-474,21-01-2017,06:02:08,недостаточно средств,нет,0.0
физ. лицо,получение средств,3348.4,наличный,Минск,Приорбанк-JKOM-878,02-08-2013,10:54:44,успешно,нет,0.0
физ. лицо,получение средств,982.52,наличный,Минск,Белинвестбанк-IIIN-782,16-08-2016,05:06:32,успешно,нет,0.0
физ. лицо,получение средств,191.7,безналичный,Минск,Белинвестбанк-ZEVS-130,01-11-2024,14:59:14,успешно,нет,0.0
физ. лицо,получение средств,1034.89,наличный,Минск,Белинвестбанк-WOQC-220,11-10-2004,15:46:00,успешно,нет,0.0
физ. лицо,списание средств,2760.0,безналичный,Минск,Белинвестбанк-MWLM-289,28-05-2016,02:58:27,недостаточно средств,да,274.24
юр. лицо,списание средств,2728.39,наличный,Минск,Беларусбанк-CVWI-532,14-09-2020,21:28:29,успешно,нет,0.0
юр. лицо,списание средств,2969.98,безналичный,Минск,БелАгропромбанк-DFNK-407,05-04-2018,16:04:00,недостаточно средств,нет,0.0
юр. лицо,списание средств,4638.6,безналичный,Минск,Приорбанк-CYCG-051,06-08-2003,20:34:52,неправильный ввод пин-кода,да,305.08
юр. лицо,получение средств,3699.07,наличный,Минск,Приорбанк-NOBV-698,17-10-2016,15:38:20,успешно,нет,0.0
физ. лицо,списание средств,242.87,безналичный,Минск,Приорбанк-ZRCX-609,19-10-2004,01:24:51,неправильный ввод пин-кода,да,19.26
юр. лицо,получение средств,1722.17,наличный,Минск,БелАгропромбанк-MUEM-777,11-10-2020,19:55:40,успешно,нет,0.0
юр. лицо,списание средств,1638.29,наличный,Минск,Приорбанк-AUBN-651,15-04-2014,09:35:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3464.12,безналичный,Минск,Беларусбанк-RRFG-009,03-02-2011,16:15:44,успешно,нет,0.0
юр. лицо,списание средств,1928.46,наличный,Минск,МаксБанк-HEST-835,14-06-2020,20:35:35,недостаточно средств,да,24.11
юр. лицо,получение средств,3737.65,безналичный,Минск,БелАгропромбанк-MSVL-274,10-01-2018,07:35:16,успешно,нет,0.0
физ. лицо,получение средств,4139.64,наличный,Минск,МаксБанк-SVRX-346,13-10-2022,06:16:53,успешно,нет,0.0
юр. лицо,получение средств,2564.61,безналичный,Минск,БелАгропромбанк-EFWY-819,08-04-2017,07:10:37,успешно,нет,0.0
физ. лицо,списание средств,1418.36,безналичный,Минск,МаксБанк-UAUW-933,12-03-2024,10:04:04,успешно,нет,0.0
физ. лицо,получение средств,931.92,наличный,Минск,Приорбанк-UKHK-119,07-01-2020,20:50:53,успешно,нет,0.0
юр. лицо,списание средств,2347.4,наличный,Минск,Белинвестбанк-OQUO-698,24-09-2000,05:53:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,201.32,безналичный,Минск,МаксБанк-GMFE-488,30-05-2011,22:04:28,успешно,да,4.09
юр. лицо,получение средств,293.65,безналичный,Минск,БелАгропромбанк-HVKZ-985,07-01-2021,03:54:59,успешно,нет,0.0
физ. лицо,списание средств,4389.39,безналичный,Минск,БелАгропромбанк-QHHL-955,08-04-2005,16:09:25,недостаточно средств,да,206.19
физ. лицо,получение средств,846.03,наличный,Минск,МаксБанк-PMAB-052,27-03-2012,06:26:02,успешно,нет,0.0
физ. лицо,списание средств,1734.21,наличный,Минск,БелАгропромбанк-AMGE-962,26-10-2024,10:50:22,неправильный ввод пин-кода,да,36.3
физ. лицо,получение средств,4604.37,наличный,Минск,БелАгропромбанк-FHNM-326,12-03-2023,14:43:53,успешно,нет,0.0
физ. лицо,получение средств,1638.39,наличный,Минск,БелАгропромбанк-LNYN-831,19-02-2009,19:30:32,успешно,нет,0.0
юр. лицо,получение средств,437.23,безналичный,Минск,Приорбанк-EOID-171,27-06-2010,01:08:41,успешно,нет,0.0
физ. лицо,получение средств,2616.7,наличный,Минск,Приорбанк-MGMB-074,02-08-2005,11:38:58,успешно,нет,0.0
юр. лицо,получение средств,4428.93,безналичный,Минск,Белинвестбанк-BSNT-033,17-03-2006,10:23:45,успешно,нет,0.0
юр. лицо,списание средств,4869.1,безналичный,Минск,МаксБанк-ZUHM-641,21-12-2009,06:25:58,недостаточно средств,нет,0.0
юр. лицо,получение средств,3857.43,безналичный,Минск,МаксБанк-FMHR-428,28-09-2003,09:25:46,успешно,нет,0.0
физ. лицо,списание средств,3913.27,наличный,Минск,МаксБанк-LHET-043,25-07-2013,13:20:47,успешно,да,207.32
юр. лицо,получение средств,1273.31,наличный,Минск,Белинвестбанк-JOQF-712,16-08-2000,02:34:15,успешно,нет,0.0
юр. лицо,получение средств,3286.65,безналичный,Минск,Беларусбанк-RGXO-478,05-02-2012,23:16:34,успешно,нет,0.0
физ. лицо,получение средств,4973.47,наличный,Минск,Белинвестбанк-CDRZ-966,08-12-2016,07:58:32,успешно,нет,0.0
юр. лицо,списание средств,2174.53,наличный,Минск,БелАгропромбанк-WOBH-224,30-07-2013,10:45:45,успешно,нет,0.0
юр. лицо,получение средств,4777.29,наличный,Минск,Беларусбанк-XDZM-477,25-09-2015,05:53:09,успешно,нет,0.0
физ. лицо,получение средств,3982.25,наличный,Минск,Приорбанк-VSMR-411,17-10-2006,00:45:34,успешно,нет,0.0
юр. лицо,списание средств,4715.73,безналичный,Минск,БелАгропромбанк-ZCUF-224,15-11-2005,16:09:00,недостаточно средств,да,332.15
юр. лицо,списание средств,338.52,наличный,Минск,Беларусбанк-IFQM-517,28-01-2015,15:00:47,недостаточно средств,да,13.77
физ. лицо,списание средств,899.27,наличный,Минск,Приорбанк-TIJQ-955,08-12-2022,12:56:05,недостаточно средств,нет,0.0
физ. лицо,списание средств,2807.29,безналичный,Минск,МаксБанк-JGXU-606,02-10-2016,00:04:44,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,68.07,безналичный,Минск,МаксБанк-HBFC-111,05-10-2021,14:30:53,недостаточно средств,да,5.67
физ. лицо,получение средств,4164.99,наличный,Минск,Беларусбанк-WXMK-592,22-04-2022,14:56:54,успешно,нет,0.0
физ. лицо,списание средств,107.78,наличный,Минск,Беларусбанк-TMBC-777,27-02-2023,03:44:04,успешно,нет,0.0
юр. лицо,списание средств,3622.24,безналичный,Минск,БелАгропромбанк-JNNK-999,20-07-2003,13:23:06,успешно,да,127.91
юр. лицо,списание средств,643.23,наличный,Минск,Беларусбанк-WRWE-389,02-09-2013,23:56:03,недостаточно средств,да,18.42
физ. лицо,получение средств,4647.48,безналичный,Минск,МаксБанк-JIYH-586,19-04-2003,00:08:46,успешно,нет,0.0
юр. лицо,получение средств,807.05,наличный,Минск,Белинвестбанк-UBJO-211,12-08-2002,14:40:11,успешно,нет,0.0
физ. лицо,получение средств,4760.66,наличный,Минск,БелАгропромбанк-SHZE-679,10-06-2017,15:12:37,успешно,нет,0.0
физ. лицо,получение средств,562.73,безналичный,Минск,Приорбанк-UIMZ-865,28-03-2020,18:16:33,успешно,нет,0.0
юр. лицо,получение средств,1305.03,наличный,Минск,Беларусбанк-PQPQ-820,01-11-2000,01:01:30,успешно,нет,0.0
юр. лицо,получение средств,3128.07,наличный,Минск,Беларусбанк-AHRL-785,21-12-2016,00:35:56,успешно,нет,0.0
физ. лицо,списание средств,2953.41,безналичный,Минск,Приорбанк-WBYR-732,08-07-2006,08:09:44,успешно,да,203.3
юр. лицо,получение средств,1324.25,наличный,Минск,БелАгропромбанк-FJOY-747,21-04-2005,17:24:48,успешно,нет,0.0
юр. лицо,получение средств,1741.76,наличный,Минск,БелАгропромбанк-GLTM-838,23-04-2019,14:54:33,успешно,нет,0.0
юр. лицо,получение средств,4109.87,наличный,Минск,Белинвестбанк-DXMA-377,13-09-2009,01:43:19,успешно,нет,0.0
юр. лицо,списание средств,3822.2,наличный,Минск,БелАгропромбанк-WPYQ-397,01-03-2000,18:40:54,успешно,нет,0.0
юр. лицо,получение средств,4958.91,наличный,Минск,Белинвестбанк-DTIO-123,03-10-2004,18:45:32,успешно,нет,0.0
юр. лицо,списание средств,2358.52,безналичный,Минск,БелАгропромбанк-FNZF-370,26-02-2023,09:59:33,успешно,да,81.8
физ. лицо,списание средств,966.47,безналичный,Минск,МаксБанк-OJYW-577,30-04-2010,21:48:32,недостаточно средств,нет,0.0
физ. лицо,списание средств,4678.81,наличный,Минск,Белинвестбанк-ZRYZ-193,07-04-2007,04:40:41,недостаточно средств,нет,0.0
юр. лицо,списание средств,3234.96,безналичный,Минск,МаксБанк-KJUF-552,08-11-2023,02:01:51,недостаточно средств,нет,0.0
юр. лицо,списание средств,400.35,безналичный,Минск,Беларусбанк-PAUD-854,04-07-2020,04:05:55,неправильный ввод пин-кода,да,15.33
физ. лицо,списание средств,380.46,безналичный,Минск,Беларусбанк-BEXW-368,05-08-2016,22:13:13,неправильный ввод пин-кода,да,32.3
юр. лицо,списание средств,3806.89,наличный,Минск,Белинвестбанк-ARXV-058,18-01-2011,04:39:51,недостаточно средств,нет,0.0
физ. лицо,списание средств,729.99,наличный,Минск,МаксБанк-WFFK-294,02-09-2011,15:13:01,недостаточно средств,да,28.94
физ. лицо,списание средств,4701.34,наличный,Минск,Белинвестбанк-PNQQ-367,25-09-2012,13:34:21,недостаточно средств,да,297.67
юр. лицо,списание средств,501.15,безналичный,Минск,МаксБанк-JGFG-746,04-04-2001,04:01:29,недостаточно средств,нет,0.0
юр. лицо,списание средств,2944.79,наличный,Минск,Приорбанк-ZPTJ-776,09-11-2013,07:01:34,неправильный ввод пин-кода,да,73.25
физ. лицо,получение средств,4595.09,безналичный,Минск,Беларусбанк-XPYI-473,11-09-2010,17:26:06,успешно,нет,0.0
юр. лицо,получение средств,1976.91,наличный,Минск,Беларусбанк-HOPQ-407,12-11-2008,17:41:50,успешно,нет,0.0
юр. лицо,списание средств,2067.25,безналичный,Минск,БелАгропромбанк-DMXR-414,06-02-2008,10:40:20,успешно,нет,0.0
юр. лицо,получение средств,1196.13,безналичный,Минск,МаксБанк-DFJD-544,16-11-2004,04:37:53,успешно,нет,0.0
юр. лицо,списание средств,1023.97,безналичный,Минск,Приорбанк-NNIQ-329,21-10-2004,03:41:14,успешно,да,11.84
юр. лицо,получение средств,2140.28,наличный,Минск,БелАгропромбанк-LCOB-073,30-08-2016,06:02:26,успешно,нет,0.0
юр. лицо,получение средств,3630.44,безналичный,Минск,Приорбанк-XJGX-224,11-02-2000,16:13:42,успешно,нет,0.0
юр. лицо,получение средств,3773.07,наличный,Минск,БелАгропромбанк-ZDJY-146,10-12-2023,11:44:19,успешно,нет,0.0
юр. лицо,списание средств,4647.13,безналичный,Минск,Белинвестбанк-UZNB-593,29-08-2019,07:30:50,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2042.32,наличный,Минск,БелАгропромбанк-ZFTD-896,01-07-2004,19:42:12,недостаточно средств,нет,0.0
физ. лицо,получение средств,2863.99,наличный,Минск,МаксБанк-YPPJ-742,06-05-2015,08:31:06,успешно,нет,0.0
физ. лицо,списание средств,4631.31,безналичный,Минск,Приорбанк-RGQU-351,12-07-2000,05:21:10,успешно,да,373.49
физ. лицо,получение средств,4556.38,безналичный,Минск,Белинвестбанк-KGLW-232,14-12-2004,22:51:55,успешно,нет,0.0
юр. лицо,получение средств,3808.01,безналичный,Минск,Беларусбанк-HMYV-432,04-01-2012,00:32:40,успешно,нет,0.0
юр. лицо,списание средств,1017.04,наличный,Минск,МаксБанк-VCKW-400,17-05-2007,06:29:47,неправильный ввод пин-кода,да,37.35
физ. лицо,получение средств,2797.5,наличный,Минск,Белинвестбанк-UYQT-315,21-07-2007,23:10:00,успешно,нет,0.0
физ. лицо,получение средств,3360.37,безналичный,Минск,Белинвестбанк-ELNT-989,12-08-2015,11:43:38,успешно,нет,0.0
физ. лицо,списание средств,2374.83,безналичный,Минск,БелАгропромбанк-XTJN-502,29-07-2022,12:31:28,успешно,нет,0.0
физ. лицо,списание средств,480.98,безналичный,Минск,Белинвестбанк-ZXIO-858,08-04-2011,03:32:26,успешно,да,45.61
физ. лицо,списание средств,2143.91,наличный,Минск,БелАгропромбанк-JYPG-170,19-10-2005,18:36:33,недостаточно средств,нет,0.0
физ. лицо,получение средств,1539.38,наличный,Минск,БелАгропромбанк-PBOC-705,04-09-2018,02:26:12,успешно,нет,0.0
физ. лицо,списание средств,3602.51,безналичный,Минск,Приорбанк-WWHM-796,26-03-2024,22:05:52,неправильный ввод пин-кода,нет,0.0
